State,District,Police_Station,Area_Type,Crime_Type,Date,Population,Cases_Reported,Cases_Solved,Arrests_Made,Cases_Pending,Crime_Rate_Per_Lakh,Crime_Per_Lakh
Andhra Pradesh,Visakhapatnam,PS_356,Semi-Urban,Robbery,2020-03-05,6293412.0,442,50.0,155,,7.023217294529581,
Andhra Pradesh,Kurnool,PS_291,Urban,Kidnapping,2017-12-30,5838633.0,165,34.0,114,51.0,,2.8260039635990135
Andhra Pradesh,Visakhapatnam,PS_145,Urban,Kidnapping,2021-11-15,3788101.0,345,110.0,296,49.0,9.107465719631023,9.107465719631023
Andhra Pradesh,Guntur,PS_216,Urban,Cyber Crime,2016-09-04,,730,172.0,331,399.0,12.019664170583074,12.019664170583074
Andhra Pradesh,Kurnool,PS_360,Rural,Theft,2016-01-14,6014523.0,432,,12,420.0,7.182614481647174,7.182614481647174
Andhra Pradesh,Guntur,PS_292,Urban,Kidnapping,2019-01-17,422408.0,72,16.0,15,57.0,17.04513172099013,17.04513172099013
Andhra Pradesh,Guntur,PS_322,Rural,Domestic Violence,2023-12-28,3309350.0,637,221.0,176,461.0,19.248492906461994,19.248492906461994
Andhra Pradesh,Visakhapatnam,PS_78,Urban,Fraud,2016-07-31,4411453.0,118,27.0,79,,2.674855654134817,2.674855654134817
Andhra Pradesh,Nellore,PS_165,Urban,Rape,2015-09-06,922821.0,623,436.0,605,18.0,67.51038392060866,67.51038392060866
Andhra Pradesh,Visakhapatnam,PS_17,Urban,Burglary,2021-10-30,5380122.0,114,89.0,34,80.0,2.118911058150726,
Andhra Pradesh,Vijayawada,PS_35,Semi-Urban,Robbery,2020-03-25,5214823.0,311,163.0,163,148.0,5.963769048345457,5.963769048345457
Andhra Pradesh,Guntur,PS_68,Semi-Urban,Rape,2016-01-13,1011000.0,399,218.0,106,293.0,39.46587537091988,39.46587537091988
Andhra Pradesh,Vijayawada,PS_324,Semi-Urban,Theft,2015-12-29,1087639.0,686,597.0,396,290.0,63.072398102679294,63.072398102679294
Andhra Pradesh,Vijayawada,PS_390,Urban,Theft,2017-08-08,,251,2.0,71,180.0,3.826510583655678,3.826510583655678
Andhra Pradesh,Kurnool,PS_6,Semi-Urban,Murder,2021-12-12,5066381.0,106,50.0,88,18.0,2.0922232260068876,2.0922232260068876
Andhra Pradesh,Guntur,PS_325,Rural,Kidnapping,2018-10-27,4667645.0,54,16.0,41,13.0,1.1569003212540798,1.1569003212540798
Andhra Pradesh,Vijayawada,PS_221,Semi-Urban,Theft,2020-11-22,126653.0,344,283.0,302,42.0,271.6082524693454,271.6082524693454
Andhra Pradesh,Nellore,PS_124,Rural,Theft,2015-11-16,1011454.0,72,18.0,47,25.0,7.118465100736168,
Andhra Pradesh,Guntur,PS_329,Semi-Urban,Burglary,2022-11-13,6415399.0,39,21.0,5,,0.6079123059999854,0.6079123059999854
Andhra Pradesh,Guntur,PS_292,Semi-Urban,Rape,2021-06-05,2490447.0,591,576.0,121,470.0,23.730679673167106,23.730679673167106
Andhra Pradesh,Nellore,PS_391,Rural,Cyber Crime,2019-06-04,5155598.0,105,100.0,101,4.0,2.0366211640240377,
Andhra Pradesh,Guntur,PS_342,Rural,Burglary,2016-04-29,6315867.0,160,,7,153.0,,2.5333022370483738
Andhra Pradesh,Guntur,PS_10,Rural,Domestic Violence,2015-01-27,6115615.0,283,277.0,76,207.0,4.627498624422891,4.627498624422891
Andhra Pradesh,Nellore,PS_8,Semi-Urban,Rape,2022-04-18,3253128.0,471,374.0,428,43.0,,14.478372815333426
Andhra Pradesh,Vijayawada,PS_290,Rural,Theft,2020-12-26,,118,65.0,9,109.0,33.491329151647605,33.491329151647605
Andhra Pradesh,Guntur,PS_321,Semi-Urban,Burglary,2023-09-15,4505802.0,265,72.0,103,162.0,5.881305925116106,5.881305925116106
Andhra Pradesh,Kurnool,PS_371,Urban,Cyber Crime,2023-12-10,137052.0,123,109.0,12,111.0,89.7469573592505,89.7469573592505
Andhra Pradesh,Vijayawada,PS_224,Semi-Urban,Burglary,2023-03-06,3112368.0,282,18.0,192,90.0,9.06062522169615,9.06062522169615
Andhra Pradesh,Guntur,PS_381,Urban,Kidnapping,2023-03-10,5431036.0,559,304.0,406,153.0,10.292695537278707,10.292695537278707
Andhra Pradesh,Guntur,PS_215,Semi-Urban,Fraud,2021-08-16,1617647.0,19,1.0,0,19.0,,1.1745454972562
Andhra Pradesh,Vijayawada,PS_38,Semi-Urban,Robbery,2017-05-03,6084705.0,78,,30,48.0,,1.2819027380949446
Andhra Pradesh,Visakhapatnam,PS_227,Urban,Burglary,2016-12-05,3163208.0,124,2.0,121,3.0,3.920071016512351,3.920071016512351
Andhra Pradesh,Nellore,PS_69,Rural,Robbery,2018-04-23,4337560.0,2,2.0,2,0.0,0.04610887226920204,0.04610887226920204
Andhra Pradesh,Nellore,PS_382,Urban,Theft,2019-01-11,3021612.0,255,113.0,22,233.0,8.439203974567219,8.439203974567219
Andhra Pradesh,Vijayawada,PS_50,Rural,Murder,2021-06-02,6349286.0,252,128.0,204,48.0,3.9689502095196216,3.9689502095196216
Andhra Pradesh,Nellore,PS_265,Urban,Rape,2017-09-02,1371948.0,48,35.0,47,1.0,3.498674876890378,3.498674876890378
Andhra Pradesh,Visakhapatnam,PS_56,Semi-Urban,Rape,2015-01-08,1027845.0,574,264.0,99,475.0,55.84499608403991,55.84499608403991
Andhra Pradesh,Nellore,PS_208,Semi-Urban,Robbery,2021-11-22,1564960.0,738,572.0,554,184.0,47.157754830794396,47.157754830794396
Andhra Pradesh,Kurnool,PS_91,Semi-Urban,Cyber Crime,2021-08-30,314516.0,118,15.0,45,73.0,37.517964109934,37.517964109934
Andhra Pradesh,Guntur,PS_317,Urban,Rape,2021-11-30,,162,137.0,20,142.0,2.601182381902707,
Andhra Pradesh,Visakhapatnam,PS_255,Rural,Robbery,2023-02-19,6834082.0,94,,90,4.0,1.3754590594610951,1.3754590594610951
Andhra Pradesh,Nellore,PS_255,Semi-Urban,Cyber Crime,2022-02-24,5728455.0,332,124.0,307,,5.795629013407629,5.795629013407629
Andhra Pradesh,Visakhapatnam,PS_332,Semi-Urban,Cyber Crime,2018-06-13,6747057.0,240,82.0,60,180.0,3.557106453969486,3.557106453969486
Andhra Pradesh,Kurnool,PS_373,Rural,Burglary,2022-02-11,5715469.0,578,72.0,148,430.0,10.112905870016967,10.112905870016967
Andhra Pradesh,Visakhapatnam,PS_126,Semi-Urban,Robbery,2020-04-07,,144,42.0,73,71.0,2.359138540902302,2.359138540902302
Andhra Pradesh,Visakhapatnam,PS_310,Rural,Fraud,2016-10-28,1205999.0,224,133.0,224,0.0,18.573813079446996,18.573813079446996
Andhra Pradesh,Vijayawada,PS_377,Rural,Cyber Crime,2016-05-29,1537576.0,762,108.0,298,464.0,49.55852588750084,49.55852588750084
Andhra Pradesh,Kurnool,PS_12,Rural,Theft,2018-04-30,6232531.0,617,84.0,35,582.0,9.899669973562908,9.899669973562908
Andhra Pradesh,Kurnool,PS_9,Rural,Rape,2020-01-16,4029247.0,562,337.0,25,537.0,13.948015596958935,13.948015596958935
Andhra Pradesh,Visakhapatnam,PS_58,Rural,Cyber Crime,2022-12-26,3927167.0,217,177.0,59,158.0,5.525611719593284,5.525611719593284
Andhra Pradesh,Vijayawada,PS_83,Urban,Burglary,2016-12-09,1834558.0,30,13.0,20,,1.635271275151835,1.635271275151835
Andhra Pradesh,Guntur,PS_327,Rural,Domestic Violence,2017-07-14,2945599.0,675,65.0,78,,22.915542814890962,22.915542814890962
Andhra Pradesh,Nellore,PS_121,Urban,Robbery,2020-07-16,3280690.0,124,54.0,8,116.0,3.7796926865994656,3.7796926865994656
Andhra Pradesh,Nellore,PS_197,Rural,Rape,2024-04-08,6439514.0,556,72.0,37,,8.63419195920686,8.63419195920686
Andhra Pradesh,Guntur,PS_64,Urban,Cyber Crime,2024-12-22,2567222.0,238,37.0,121,117.0,9.270721425727887,
Andhra Pradesh,Vijayawada,PS_103,Semi-Urban,Rape,2022-05-15,1979421.0,277,47.0,47,230.0,13.993991172166004,
Andhra Pradesh,Visakhapatnam,PS_221,Semi-Urban,Rape,2023-08-28,3948057.0,655,480.0,70,585.0,16.590439297102346,16.590439297102346
Andhra Pradesh,Kurnool,PS_148,Rural,Burglary,2021-03-11,2853992.0,324,296.0,136,188.0,11.35251955856919,11.35251955856919
Andhra Pradesh,Guntur,PS_124,Rural,Murder,2019-06-02,3279250.0,129,,6,123.0,3.9338263322406037,3.9338263322406037
Andhra Pradesh,Guntur,PS_214,Semi-Urban,Domestic Violence,2021-08-12,2801476.0,597,71.0,423,174.0,21.310195054321365,21.310195054321365
Andhra Pradesh,Vijayawada,PS_87,Rural,Murder,2015-08-10,1708355.0,384,246.0,228,156.0,22.477763696655554,22.477763696655554
Andhra Pradesh,Guntur,PS_212,Rural,Burglary,2023-03-07,3384432.0,459,327.0,20,439.0,13.562098455516319,13.562098455516319
Andhra Pradesh,Guntur,PS_176,Rural,Fraud,2020-08-09,1263150.0,128,7.0,63,65.0,10.133396667062502,
Andhra Pradesh,Guntur,PS_251,Rural,Theft,2023-11-26,1190938.0,200,199.0,106,94.0,16.793485471116046,16.793485471116046
Andhra Pradesh,Kurnool,PS_224,Semi-Urban,Theft,2022-06-24,6039257.0,489,,8,481.0,8.09702253108288,
Andhra Pradesh,Kurnool,PS_128,Semi-Urban,Assault,2023-07-10,3416568.0,655,43.0,513,142.0,19.17128533663021,19.17128533663021
Andhra Pradesh,Vijayawada,PS_237,Rural,Cyber Crime,2022-02-04,4456233.0,717,495.0,422,295.0,16.089822951358244,16.089822951358244
Andhra Pradesh,Guntur,PS_164,Semi-Urban,Kidnapping,2017-06-26,4245280.0,482,267.0,320,162.0,11.353785851581051,
Andhra Pradesh,Vijayawada,PS_388,Semi-Urban,Murder,2020-06-13,3338363.0,365,158.0,269,,10.933502438171043,10.933502438171043
Andhra Pradesh,Kurnool,PS_197,Urban,Domestic Violence,2018-01-25,6844871.0,730,,213,517.0,10.664919762549214,10.664919762549214
Andhra Pradesh,Vijayawada,PS_347,Rural,Burglary,2018-01-10,922692.0,676,494.0,203,473.0,73.26388437311692,
Andhra Pradesh,Nellore,PS_165,Urban,Burglary,2019-07-24,165967.0,625,35.0,513,,376.5808865617864,
Andhra Pradesh,Visakhapatnam,PS_48,Rural,Domestic Violence,2024-02-11,1336687.0,654,311.0,369,,48.926936522910744,48.926936522910744
Andhra Pradesh,Guntur,PS_182,Urban,Murder,2019-05-13,1910229.0,682,427.0,372,310.0,35.702525718120704,35.702525718120704
Andhra Pradesh,Vijayawada,PS_114,Urban,Fraud,2019-12-08,5522591.0,3,,3,0.0,0.05432232805217695,0.05432232805217695
Andhra Pradesh,Vijayawada,PS_278,Semi-Urban,Burglary,2019-06-18,5030486.0,789,,406,383.0,15.684369263725214,15.684369263725214
Andhra Pradesh,Visakhapatnam,PS_385,Semi-Urban,Robbery,2022-12-19,2191383.0,49,40.0,25,24.0,2.2360308535751168,2.2360308535751168
Andhra Pradesh,Kurnool,PS_65,Urban,Robbery,2019-02-26,1139919.0,662,214.0,295,367.0,58.074301770564404,58.074301770564404
Andhra Pradesh,Guntur,PS_224,Semi-Urban,Rape,2017-09-13,2421705.0,270,180.0,183,87.0,11.149169696556765,11.149169696556765
Andhra Pradesh,Vijayawada,PS_127,Semi-Urban,Theft,2016-02-25,6918580.0,397,27.0,82,315.0,,5.738171705754649
Andhra Pradesh,Guntur,PS_309,Semi-Urban,Burglary,2020-04-05,6322545.0,538,86.0,238,300.0,8.509231646433516,8.509231646433516
Andhra Pradesh,Guntur,PS_226,Semi-Urban,Domestic Violence,2016-05-19,6874236.0,709,130.0,90,619.0,10.313873425352286,10.313873425352286
Andhra Pradesh,Nellore,PS_340,Semi-Urban,Assault,2024-01-16,3592882.0,342,5.0,247,95.0,9.518820824062688,9.518820824062688
Andhra Pradesh,Vijayawada,PS_294,Urban,Cyber Crime,2019-07-04,6499928.0,682,132.0,174,508.0,10.4924239160803,10.4924239160803
Andhra Pradesh,Kurnool,PS_278,Rural,Robbery,2019-12-20,5563175.0,617,71.0,210,407.0,11.090788982909938,
Andhra Pradesh,Visakhapatnam,PS_28,Rural,Assault,2022-06-30,5865127.0,391,27.0,338,53.0,6.666522310599584,6.666522310599584
Andhra Pradesh,Kurnool,PS_266,Rural,Robbery,2019-12-08,1651061.0,178,110.0,157,21.0,,10.780946312704376
Andhra Pradesh,Guntur,PS_120,Semi-Urban,Robbery,2024-10-30,1325136.0,477,221.0,122,355.0,,35.99630528489151
Andhra Pradesh,Kurnool,PS_134,Rural,Theft,2019-09-19,3755179.0,166,49.0,30,136.0,4.420561576425518,4.420561576425518
Andhra Pradesh,Guntur,PS_226,Urban,Domestic Violence,2019-06-18,4393342.0,267,102.0,140,127.0,6.0773779960676855,6.0773779960676855
Andhra Pradesh,Vijayawada,PS_103,Urban,Rape,2022-05-23,6509804.0,319,1.0,249,70.0,4.900301145779505,
Andhra Pradesh,Visakhapatnam,PS_77,Urban,Assault,2017-11-23,4848448.0,662,476.0,10,652.0,13.653853769288645,13.653853769288645
Andhra Pradesh,Vijayawada,PS_182,Rural,Rape,2018-11-07,1141689.0,117,25.0,95,22.0,10.247974711151636,
Andhra Pradesh,Nellore,PS_209,Urban,Domestic Violence,2024-12-14,2253079.0,256,217.0,159,97.0,11.362229198354784,11.362229198354784
Andhra Pradesh,Kurnool,PS_121,Urban,Cyber Crime,2018-04-30,,612,362.0,562,50.0,98.60582322167137,98.60582322167137
Andhra Pradesh,Nellore,PS_185,Semi-Urban,Rape,2021-07-05,6188293.0,692,46.0,196,496.0,11.182405228711698,11.182405228711698
Andhra Pradesh,Visakhapatnam,PS_321,Rural,Fraud,2022-05-10,2394659.0,47,17.0,40,7.0,1.962701161209174,1.962701161209174
Andhra Pradesh,Guntur,PS_59,Rural,Rape,2023-11-28,3284407.0,461,351.0,26,435.0,14.036019287499995,14.036019287499995
Andhra Pradesh,Vijayawada,PS_264,Rural,Robbery,2018-09-08,4523375.0,731,624.0,469,,16.16049962693785,
Andhra Pradesh,Visakhapatnam,PS_105,Urban,Fraud,2023-08-26,5599013.0,185,3.0,13,172.0,3.3041537856761543,3.3041537856761543
Andhra Pradesh,Vijayawada,PS_391,Urban,Robbery,2015-04-12,4340836.0,131,44.0,18,113.0,3.0178518607936353,3.0178518607936353
Andhra Pradesh,Vijayawada,PS_152,Rural,Fraud,2023-02-16,1493772.0,243,,39,204.0,16.267542837862806,16.267542837862806
Andhra Pradesh,Visakhapatnam,PS_178,Rural,Cyber Crime,2018-05-21,4937006.0,537,526.0,467,70.0,10.877037621586847,10.877037621586847
Andhra Pradesh,Vijayawada,PS_380,Semi-Urban,Domestic Violence,2018-10-16,689407.0,121,101.0,116,5.0,17.551315841005387,
Andhra Pradesh,Vijayawada,PS_65,Semi-Urban,Domestic Violence,2020-01-23,3780943.0,558,1.0,160,,14.758223014734684,14.758223014734684
Andhra Pradesh,Kurnool,PS_273,Rural,Burglary,2022-01-05,1740753.0,449,372.0,61,388.0,25.793435369636015,
Andhra Pradesh,Visakhapatnam,PS_262,Urban,Rape,2018-05-31,4124926.0,274,194.0,112,162.0,6.642543405627156,
Andhra Pradesh,Nellore,PS_295,Semi-Urban,Fraud,2016-10-28,5296112.0,763,475.0,586,177.0,,14.406795022461761
Andhra Pradesh,Visakhapatnam,PS_355,Urban,Theft,2020-02-10,3761887.0,66,12.0,52,14.0,1.7544386633622966,1.7544386633622966
Andhra Pradesh,Visakhapatnam,PS_101,Rural,Murder,2024-07-19,1199024.0,351,332.0,132,219.0,29.273809364950157,29.273809364950157
Andhra Pradesh,Nellore,PS_90,Urban,Robbery,2018-07-31,,722,473.0,463,259.0,24.665546126621027,24.665546126621027
Andhra Pradesh,Vijayawada,PS_104,Rural,Domestic Violence,2016-03-29,878948.0,551,539.0,495,56.0,62.688577708806434,62.688577708806434
Andhra Pradesh,Visakhapatnam,PS_128,Semi-Urban,Fraud,2017-06-02,1242834.0,699,219.0,276,423.0,56.24242658311569,56.24242658311569
Andhra Pradesh,Nellore,PS_12,Semi-Urban,Burglary,2021-04-23,2035987.0,488,147.0,177,,23.968718857242212,23.968718857242212
Andhra Pradesh,Nellore,PS_185,Rural,Cyber Crime,2021-09-07,3344556.0,557,,326,231.0,16.65392954999109,16.65392954999109
Andhra Pradesh,Visakhapatnam,PS_272,Rural,Domestic Violence,2023-05-11,2212526.0,536,280.0,31,505.0,,24.225704014325707
Andhra Pradesh,Guntur,PS_307,Rural,Domestic Violence,2019-06-10,3456371.0,201,16.0,174,,5.815347947312369,5.815347947312369
Andhra Pradesh,Nellore,PS_331,Urban,Fraud,2021-01-26,1885951.0,370,260.0,20,350.0,19.618749373658172,19.618749373658172
Andhra Pradesh,Vijayawada,PS_191,Rural,Assault,2019-07-17,5330745.0,698,,653,45.0,13.093854611316054,
Andhra Pradesh,Kurnool,PS_366,Semi-Urban,Fraud,2017-07-28,3404233.0,13,6.0,1,12.0,,0.38187750368438356
Andhra Pradesh,Kurnool,PS_311,Semi-Urban,Cyber Crime,2022-09-28,3451882.0,506,125.0,452,54.0,14.65867025581987,14.65867025581987
Andhra Pradesh,Visakhapatnam,PS_365,Urban,Theft,2018-04-05,4760850.0,70,41.0,17,,1.470325677137486,1.470325677137486
Andhra Pradesh,Kurnool,PS_255,Rural,Kidnapping,2024-01-27,6470849.0,261,227.0,147,114.0,4.033473814641633,4.033473814641633
Andhra Pradesh,Nellore,PS_398,Rural,Murder,2021-05-26,6507655.0,471,,16,455.0,7.237630144806386,
Andhra Pradesh,Vijayawada,PS_315,Rural,Fraud,2016-07-01,4127004.0,264,162.0,8,256.0,6.396892273426437,6.396892273426437
Andhra Pradesh,Kurnool,PS_346,Semi-Urban,Cyber Crime,2017-06-01,5420691.0,53,14.0,20,33.0,,0.9777351263888682
Andhra Pradesh,Nellore,PS_109,Urban,Kidnapping,2019-08-22,785901.0,47,28.0,4,43.0,,5.980397022016768
Andhra Pradesh,Kurnool,PS_229,Semi-Urban,Domestic Violence,2019-09-30,1114737.0,485,322.0,198,287.0,43.50802027742867,
Andhra Pradesh,Vijayawada,PS_72,Rural,Rape,2018-05-18,3072004.0,606,56.0,259,347.0,,19.72653681440519
Andhra Pradesh,Kurnool,PS_173,Urban,Cyber Crime,2019-07-15,1361924.0,629,445.0,326,303.0,46.184662286588676,46.184662286588676
Andhra Pradesh,Visakhapatnam,PS_347,Urban,Rape,2017-11-10,2179851.0,265,139.0,194,71.0,,12.156794202906529
Andhra Pradesh,Kurnool,PS_354,Urban,Rape,2017-09-03,3853334.0,237,216.0,229,8.0,6.150517967038414,6.150517967038414
Andhra Pradesh,Nellore,PS_255,Semi-Urban,Fraud,2022-03-24,2691222.0,181,13.0,84,97.0,,6.7255692767077555
Andhra Pradesh,Kurnool,PS_333,Semi-Urban,Assault,2018-01-01,105472.0,617,441.0,425,192.0,584.9893810679612,584.9893810679612
Andhra Pradesh,Nellore,PS_238,Rural,Burglary,2017-09-15,652612.0,756,,422,334.0,115.84218494296765,115.84218494296765
Andhra Pradesh,Vijayawada,PS_102,Urban,Burglary,2021-06-18,,169,119.0,133,36.0,4.390112116709442,4.390112116709442
Andhra Pradesh,Nellore,PS_158,Rural,Theft,2018-08-10,1159828.0,570,77.0,68,502.0,49.145218084060744,49.145218084060744
Andhra Pradesh,Kurnool,PS_236,Rural,Murder,2015-08-25,1559686.0,270,198.0,197,73.0,17.311176736856005,17.311176736856005
Andhra Pradesh,Visakhapatnam,PS_98,Semi-Urban,Kidnapping,2021-11-25,2145707.0,661,26.0,385,276.0,30.80569714317938,30.80569714317938
Andhra Pradesh,Guntur,PS_5,Urban,Fraud,2022-02-01,4155383.0,657,504.0,317,340.0,15.810816957185416,15.810816957185416
Andhra Pradesh,Nellore,PS_159,Urban,Assault,2021-09-11,4136850.0,798,639.0,319,479.0,19.29003952282534,19.29003952282534
Andhra Pradesh,Visakhapatnam,PS_236,Urban,Domestic Violence,2016-03-14,5354348.0,35,22.0,5,30.0,0.6536743596045681,0.6536743596045681
Andhra Pradesh,Visakhapatnam,PS_211,Rural,Theft,2019-06-06,5660008.0,735,241.0,106,629.0,12.98584736982704,
Andhra Pradesh,Vijayawada,PS_361,Urban,Kidnapping,2021-08-03,965979.0,585,421.0,487,98.0,60.56032273993534,60.56032273993534
Andhra Pradesh,Visakhapatnam,PS_171,Semi-Urban,Fraud,2019-11-17,2742556.0,16,2.0,14,2.0,0.5833973855046168,0.5833973855046168
Andhra Pradesh,Vijayawada,PS_159,Rural,Burglary,2020-11-05,2731968.0,102,86.0,46,56.0,3.7335722819593786,3.7335722819593786
Andhra Pradesh,Visakhapatnam,PS_334,Rural,Domestic Violence,2018-09-04,2081239.0,554,115.0,535,19.0,26.618759306355496,26.618759306355496
Andhra Pradesh,Kurnool,PS_137,Semi-Urban,Robbery,2019-08-08,2163312.0,129,,6,,5.963078834675719,
Andhra Pradesh,Visakhapatnam,PS_100,Urban,Robbery,2019-12-19,6827122.0,422,287.0,115,,6.18122834189868,6.18122834189868
Andhra Pradesh,Kurnool,PS_206,Semi-Urban,Kidnapping,2023-09-26,2817658.0,103,62.0,59,44.0,3.65551816437623,3.65551816437623
Andhra Pradesh,Vijayawada,PS_279,Semi-Urban,Robbery,2020-04-24,,164,3.0,75,,4.638510155791717,4.638510155791717
Andhra Pradesh,Vijayawada,PS_333,Urban,Robbery,2021-11-13,6163426.0,126,52.0,39,87.0,2.044317559746803,2.044317559746803
Andhra Pradesh,Vijayawada,PS_81,Urban,Cyber Crime,2020-01-31,999488.0,733,394.0,647,86.0,73.33754882499841,
Andhra Pradesh,Visakhapatnam,PS_376,Semi-Urban,Robbery,2021-10-30,6140633.0,222,140.0,60,162.0,3.6152624656122585,3.6152624656122585
Andhra Pradesh,Kurnool,PS_164,Semi-Urban,Burglary,2022-12-25,5590386.0,113,87.0,31,82.0,2.021327328739017,2.021327328739017
Andhra Pradesh,Vijayawada,PS_2,Semi-Urban,Cyber Crime,2017-04-23,4356588.0,462,455.0,349,113.0,10.604629127197706,10.604629127197706
Andhra Pradesh,Kurnool,PS_280,Semi-Urban,Robbery,2017-02-26,100008.0,710,297.0,312,398.0,709.9432045436365,709.9432045436365
Andhra Pradesh,Visakhapatnam,PS_291,Urban,Murder,2022-11-26,832995.0,105,26.0,37,,12.605117677777177,12.605117677777177
Andhra Pradesh,Nellore,PS_304,Rural,Kidnapping,2018-08-18,3278611.0,464,405.0,431,33.0,14.152334631952375,14.152334631952375
Andhra Pradesh,Guntur,PS_331,Semi-Urban,Robbery,2019-07-06,3764234.0,44,7.0,39,5.0,1.1688965138724108,
Andhra Pradesh,Kurnool,PS_82,Urban,Assault,2021-08-22,5088843.0,643,600.0,340,303.0,12.635485119112536,12.635485119112536
Andhra Pradesh,Guntur,PS_232,Rural,Murder,2020-10-28,6710521.0,225,191.0,5,220.0,3.3529438325280556,3.3529438325280556
Andhra Pradesh,Guntur,PS_132,Semi-Urban,Murder,2015-01-14,4447006.0,214,51.0,114,100.0,,
Andhra Pradesh,Guntur,PS_139,Rural,Kidnapping,2016-06-25,,462,,235,227.0,7.667769807575492,7.667769807575492
Andhra Pradesh,Kurnool,PS_7,Rural,Domestic Violence,2015-04-28,1757794.0,587,,310,277.0,33.39412923243565,33.39412923243565
